Dmel_CG13633	Dmel_CG10001
Dmel_CG10521	Dmel_CG10011
Dmel_CG1440	Dmel_CG10011
Dmel_CG3665	Dmel_CG10011
Dmel_CG8552	Dmel_CG10011
Dmel_CG10034	Dmel_CG10034
Dmel_CG3305	Dmel_CG10035
Dmel_CG3936	Dmel_CG10035
Dmel_CG6953	Dmel_CG10035
Dmel_CG5893	Dmel_CG10037
Dmel_CG9151	Dmel_CG10037
Dmel_CG10325	Dmel_CG1004
Dmel_CG1214	Dmel_CG1004
Dmel_CG17610	Dmel_CG1004
Dmel_CG4385	Dmel_CG1004
Dmel_CG18492	Dmel_CG10042
Dmel_CG5576	Dmel_CG10042
Dmel_CG8293	Dmel_CG10042
Dmel_CG1743	Dmel_CG10043
Dmel_CG3665	Dmel_CG10043
Dmel_CG4141	Dmel_CG10043
Dmel_CG12473	Dmel_CG10047
Dmel_CG2621	Dmel_CG10047
Dmel_CG17117	Dmel_CG10051
Dmel_CG18076	Dmel_CG10051
Dmel_CG2621	Dmel_CG10061
Dmel_CG1725	Dmel_CG10064
Dmel_CG2244	Dmel_CG10064
Dmel_CG2621	Dmel_CG10064
Dmel_CG3665	Dmel_CG10064
Dmel_CG9057	Dmel_CG10064
Dmel_CG3258	Dmel_CG1007
Dmel_CG3796	Dmel_CG1007
Dmel_CG1469	Dmel_CG10072
Dmel_CG4027	Dmel_CG10076
Dmel_CG5680	Dmel_CG10076
Dmel_CG18405	Dmel_CG10077
Dmel_CG31196	Dmel_CG10077
Dmel_CG10521	Dmel_CG10078
Dmel_CG17610	Dmel_CG10079
Dmel_CG3954	Dmel_CG10079
Dmel_CG9375	Dmel_CG10079
Dmel_CG8552	Dmel_CG10080
Dmel_CG8402	Dmel_CG10081
Dmel_CG10521	Dmel_CG10083
Dmel_CG16757	Dmel_CG10083
Dmel_CG3665	Dmel_CG10083
Dmel_CG6668	Dmel_CG1009
Dmel_CG8552	Dmel_CG10094
Dmel_CG3624	Dmel_CG10095
Dmel_CG8274	Dmel_CG10096
Dmel_CG16757	Dmel_CG10105
Dmel_CG16973	Dmel_CG10105
Dmel_CG17369	Dmel_CG10105
Dmel_CG31196	Dmel_CG10105
Dmel_CG3665	Dmel_CG10105
Dmel_CG4320	Dmel_CG10105
Dmel_CG4620	Dmel_CG10105
Dmel_CG5092	Dmel_CG10105
Dmel_CG5212	Dmel_CG10105
Dmel_CG8002	Dmel_CG10105
Dmel_CG8637	Dmel_CG10105
Dmel_CG10521	Dmel_CG10107
Dmel_CG8293	Dmel_CG10107
Dmel_CG10108	Dmel_CG10108
Dmel_CG1856	Dmel_CG10108
Dmel_CG2845	Dmel_CG10108
Dmel_CG3166	Dmel_CG10108
Dmel_CG6721	Dmel_CG10108
Dmel_CG9375	Dmel_CG10108
Dmel_CG9949	Dmel_CG10108
Dmel_CG16757	Dmel_CG10110
Dmel_CG2621	Dmel_CG10110
Dmel_CG3665	Dmel_CG10110
Dmel_CG8114	Dmel_CG10110
